"","regija","leto","vrsta.selitve","stevilo"
"1","SLOVENIJA",1995,"Selitveni prirast s tujino - Skupaj",1415
"2","SLOVENIJA",1995,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"3","SLOVENIJA",1996,"Selitveni prirast s tujino - Skupaj",697
"4","SLOVENIJA",1996,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"5","SLOVENIJA",1997,"Selitveni prirast s tujino - Skupaj",286
"6","SLOVENIJA",1997,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"7","SLOVENIJA",1998,"Selitveni prirast s tujino - Skupaj",-2105
"8","SLOVENIJA",1998,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"9","SLOVENIJA",1999,"Selitveni prirast s tujino - Skupaj",2335
"10","SLOVENIJA",1999,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"11","SLOVENIJA",2000,"Selitveni prirast s tujino - Skupaj",2615
"12","SLOVENIJA",2000,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"13","SLOVENIJA",2001,"Selitveni prirast s tujino - Skupaj",2992
"14","SLOVENIJA",2001,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"15","SLOVENIJA",2002,"Selitveni prirast s tujino - Skupaj",1865
"16","SLOVENIJA",2002,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"17","SLOVENIJA",2003,"Selitveni prirast s tujino - Skupaj",3412
"18","SLOVENIJA",2003,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"19","SLOVENIJA",2004,"Selitveni prirast s tujino - Skupaj",1902
"20","SLOVENIJA",2004,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"21","SLOVENIJA",2005,"Selitveni prirast s tujino - Skupaj",6436
"22","SLOVENIJA",2005,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"23","SLOVENIJA",2006,"Selitveni prirast s tujino - Skupaj",6267
"24","SLOVENIJA",2006,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"25","SLOVENIJA",2007,"Selitveni prirast s tujino - Skupaj",14250
"26","SLOVENIJA",2007,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"27","SLOVENIJA",2008,"Selitveni prirast s tujino - Skupaj",18584
"28","SLOVENIJA",2008,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"29","SLOVENIJA",2009,"Selitveni prirast s tujino - Skupaj",11508
"30","SLOVENIJA",2009,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"31","SLOVENIJA",2010,"Selitveni prirast s tujino - Skupaj",-521
"32","SLOVENIJA",2010,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"33","SLOVENIJA",2011,"Selitveni prirast s tujino - Skupaj",2059
"34","SLOVENIJA",2011,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"35","SLOVENIJA",2012,"Selitveni prirast s tujino - Skupaj",644
"36","SLOVENIJA",2012,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"37","SLOVENIJA",2013,"Selitveni prirast s tujino - Skupaj",487
"38","SLOVENIJA",2013,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"39","SLOVENIJA",2014,"Selitveni prirast s tujino - Skupaj",-490
"40","SLOVENIJA",2014,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"41","SLOVENIJA",2015,"Selitveni prirast s tujino - Skupaj",507
"42","SLOVENIJA",2015,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"43","SLOVENIJA",2016,"Selitveni prirast s tujino - Skupaj",1051
"44","SLOVENIJA",2016,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"45","SLOVENIJA",2017,"Selitveni prirast s tujino - Skupaj",1253
"46","SLOVENIJA",2017,"Selitveni prirast med statistiènimi regijami - Skupaj",0
"47","Pomurska",1995,"Selitveni prirast s tujino - Skupaj",76
"48","Pomurska",1995,"Selitveni prirast med statistiènimi regijami - Skupaj",-29
"49","Pomurska",1996,"Selitveni prirast s tujino - Skupaj",28
"50","Pomurska",1996,"Selitveni prirast med statistiènimi regijami - Skupaj",-5
"51","Pomurska",1997,"Selitveni prirast s tujino - Skupaj",-3
"52","Pomurska",1997,"Selitveni prirast med statistiènimi regijami - Skupaj",-43
"53","Pomurska",1998,"Selitveni prirast s tujino - Skupaj",-22
"54","Pomurska",1998,"Selitveni prirast med statistiènimi regijami - Skupaj",-21
"55","Pomurska",1999,"Selitveni prirast s tujino - Skupaj",-55
"56","Pomurska",1999,"Selitveni prirast med statistiènimi regijami - Skupaj",-78
"57","Pomurska",2000,"Selitveni prirast s tujino - Skupaj",-124
"58","Pomurska",2000,"Selitveni prirast med statistiènimi regijami - Skupaj",-46
"59","Pomurska",2001,"Selitveni prirast s tujino - Skupaj",-24
"60","Pomurska",2001,"Selitveni prirast med statistiènimi regijami - Skupaj",-55
"61","Pomurska",2002,"Selitveni prirast s tujino - Skupaj",-31
"62","Pomurska",2002,"Selitveni prirast med statistiènimi regijami - Skupaj",-23
"63","Pomurska",2003,"Selitveni prirast s tujino - Skupaj",-22
"64","Pomurska",2003,"Selitveni prirast med statistiènimi regijami - Skupaj",-52
"65","Pomurska",2004,"Selitveni prirast s tujino - Skupaj",-39
"66","Pomurska",2004,"Selitveni prirast med statistiènimi regijami - Skupaj",-49
"67","Pomurska",2005,"Selitveni prirast s tujino - Skupaj",123
"68","Pomurska",2005,"Selitveni prirast med statistiènimi regijami - Skupaj",-51
"69","Pomurska",2006,"Selitveni prirast s tujino - Skupaj",9
"70","Pomurska",2006,"Selitveni prirast med statistiènimi regijami - Skupaj",-6
"71","Pomurska",2007,"Selitveni prirast s tujino - Skupaj",85
